,集數,日期,主題,分類,來賓,備註,c_view,g_view
50,1016,8月15日,主持人暑假任務？ 大熱門推銷員挑戰賽！,活動,浪LIVE主播(愷弟 亭恩 若凡 韋綸) 助理主場 趙正平,,383035,4
51,1017,8月16日,藝能界燒腦大戰開打！ 誰能比吳宗憲更聰明？,遊戲,劉書宏 沈玉琳 Albee 孫其君 邰智源 大根,,982368,2
52,1018,8月17日,藝能界燒腦大戰開打！ 誰能比吳宗憲更聰明？ 第二回,遊戲,劉書宏 沈玉琳 Albee 孫其君 邰智源 大根,,771953,3
53,1019,8月21日,菜英文也能當導遊？ 明星挑戰外國人旅行團！,活動, 杜力 安妮黃鐙輝 蘿莉塔 撒基努 黃沐妍,,68488,6
54,1020,8月22日,試唱間大挑戰！ 他有實力再發片嗎？,歌曲, 陳奕 魏蔓 羅時豐陳乃榮 陳若穎 沈建宏 斯亞 簡宏霖,,289360,5
55,1021,8月23日,藝能界燒腦大戰開打！ 誰能比吳宗憲更聰明？ 第三回,遊戲,劉書宏 沈玉琳 Albee 孫其君 邰智源 大根 踢館魔主 于美人,,785980,3
56,1022,8月24日,台底下什麼鳥事都會發生？！ 駐唱歌手奇遇記！,職業,海產 米亞 孫伯綸 林書嬅 荒漠甘泉(卡龍 志豪) 邵阿咩 朱家興,,216366,5
57,1023,8月28日,整形換臉圓夢計畫！ 三個月後他將變得不一樣！,活動,羽庭 嘟嘟 JEAN 卡古 見證人 阿B 一支 小孟 德瑞克 KING 卡古爸,,399372,4
58,1024,8月29日,眼睛戀愛還是耳朵懷孕？ 女人到底愛哪款？,歌曲,成語蕎 廖慧珍 曾智希 安妮 視覺 嬌嬌 逸祥 Rick 吳念軒 林欣甫 陳肇天 李先宇 藍燁,,326385,4
59,1025,8月30日,藝能界燒腦大戰開打！ 誰能比吳宗憲更聰明？ 第四回,遊戲,沈玉琳 Albee 孫其君 邰智源 大根 于美人,,607802,3
60,1026,8月31日,現在就可以買！ 明星私物公益拍賣會！,活動,曾莞婷 撒基努 周定緯 許仁傑 梁以辰,綜藝大熱門FB直播拍賣 拍賣所得全數捐贈給「徐園長護生園」,287124,5
61,1027,9月4日,不能說的秘密！ 三金典禮 演唱會失控內幕！,談話性,王治平 小桃 賈培德 邵邵 建東 班班 偉凡,,233487,5
62,1028,9月5日,藝能界燒腦大戰開打！ 誰能比吳宗憲更聰明？ 第五回,遊戲,沈玉琳 Albee 孫其君 邰智源 大根 踢館魔主 KID,,595222,3
63,1029,9月6日,北中南家鄉大動員！ 誰能搶救主持人早下班？！,遊戲,詹子晴 茵茵 張立東,,349166,4
64,1030,9月7日,北中南家鄉大動員！ 誰能搶救主持人早下班？！,遊戲,詹子晴 茵茵 張立東,,347046,4
65,1031,9月11日,異國婚姻眉角多！ 怎麼跟電影演的不一樣？,談話性,Shanon 馬丁 LIL AJ Holly 東東 Mimi 小慢,,355091,4
66,1032,9月12日,讓歌手心動的瞬間！ 合作對象殘酷二選一！,歌曲,江美琪 綠茶 葉秉桓 紅 罡愷 亭恩 麗絲 李友廷 藍 郭志翔 Becca 小優 Cooper,,137685,5
67,1033,9月13日,藝能界燒腦大戰開打！ 誰能比吳宗憲更聰明？ 第六回,遊戲,沈玉琳 Albee 孫其君 邰智源 大根 踢館魔主 苦苓,,682392,3
68,1034,9月14日,大熱門當鋪！ 你有本事換到幾個通告？,活動,劭中 小董 樺樺 葉綺 怡菱綠茶 Una 安苡愛 依依 Tony Chen 瑪莉亞 大根 逸祥 海產 阿虎 無尊,,409512,4
69,1035,9月18日,在測謊機面前 你敢<U+8AAC>謊嗎？ 婚姻暗黑真相實測！！,夫妻,周潤德 Wendy 苦苓 馬丁 Shanon 彭華幹 Carol 威廉 飛口,,316209,4
70,1036,9月19日,當歌手愈來愈容易？！ 但歌聲真的能聽嗎？,歌曲,丁曉雯 李玖哲 王治平秦宇子 IVI 世外桃源樂團(閻韋伶 小各) 吳卓源 臭屁嬰仔 草屯囝仔 noovy,,324102,4
71,1037,9月20日,藝能界燒腦大戰開打！ 誰能比吳宗憲更聰明？ 第七回,遊戲,Albee 孫其君 邰智源 大根 Sandy,,1544293,1
72,1038,9月21日,別再說我沒才藝！ 晉升絕世奇才的瞬間,活動,沈玉琳 趙正平 逸祥 梁凱莉 林進 阿虎,,217488,5
73,1039,9月25日,嘿嘿厲害啦！ 那些年我在憲神身邊的日子！,談話性,NONO 沈玉琳 梁赫群 小鍾 小馬 楊子儀 周曉涵 Vicki 小嫻 溫嵐,,612825,3
74,1040,9月26日,嘿嘿厲害啦！ 那些年我在憲神身邊的日子！,談話性,NONO 沈玉琳 梁赫群 小鍾 小馬 楊子儀 周曉涵 Vicki 小嫻 溫嵐,,449094,4
75,1041,9月27日,藝能界燒腦大戰開打! 誰能比吳宗憲更聰明? 最終回,遊戲,Albee 孫其君 邰智源 大根,,658531,3
76,1042,9月28日,死對頭嚇到吃手手！ 時事用唱的更嗆！,歌曲,MC耀宗 沈玉琳 ECHO 小賴 大根 安喬 阿龍 李洛洋 斯亞 阿虎 無尊 郭子,,272502,5
77,1043,10月2日,有片有真相！！ 踩中另一半雷區了你都不知道？,夫妻,Michael Paul 撒基努 林秀琴 楊皓如 咪咪 Maya 陳致遠,,460731,4
78,1044,10月3日,大熱門試唱間！ 台語歌手唱國語歌 好聽嗎？,歌曲,丁曉雯邵大倫 朱海君 吳俊宏 李愛綺 莊振凱,,176380,5
79,1045,10月4日,不服來驗！ 命理師不要命預言大會！,職業,小孟 沈孟勳 王馨怡 聖元 旭秋 江柏樂,,263585,5
80,1046,10月5日,明星價值直播拍賣會！ 誰能與偶像來個私約呢？,活動,曹西平 趙正平 以綸 宇宙 熊熊 孫其君,,317766,4
81,1047,10月9日,你有辦法讓觀眾大笑嗎？ 團體哏王爭霸戰！,活動,唐從聖 山豬 阿虎 解婕翎 Una 蔡允潔 安喬 瑋哥 孫生 琳妲 喬瑟夫 惡魔 大寶 何美 嘻小瓜 逸祥,,795114,3
82,1048,10月10日,比拿不到獎金還辛酸？！ 金牌運動員背後血淚！,職業,夢多 詹可旬 侯羽桑 林侃諭 陳映竹 古正晴 洪萬庭 羅淼,,167772,5
83,1049,10月11日,從監視器畫面透視人性！ 誰有Guts敢仗義執言？,活動,沈玉琳 楊繡惠 楊晨熙 梁凱莉,,432678,4
84,1050,10月12日,爆點搏版面! 誰是演唱會哏王之王？！,歌曲, 畢書盡小鍾 安苡愛 王彩樺 無尊 惡魔 杜力 大女孩 海產 阿虎 逸祥 白雲,,402933,4
85,1051,10月16日,使命必達挑戰賽 第二彈！,遊戲,宏都拉斯 陳大天 大根唐從聖 嘻小瓜 無尊,,342368,4
86,1052,10月17日,他們的專輯你可能買過！ 但再發片夠格嗎？,歌曲,王治平 二珂 旺福 江宏恩 高蕾雅 阿Ben 張棋惠 黃靖倫,,206644,5
87,1053,10月18日,分秒必爭大比拼！ 這種荒謬遊戲你玩過嗎？,遊戲,郭彥均 Becca 蔡允潔 阿虎 小鍾 安苡愛 Una Paul,,330605,4
88,1054,10月19日,87分不能再高了！ 幕後人員各種出包無極限？,職業,楊大衛 思瑩 蔣嘉文 小明 丹尼斯 薯泥 劉彥鋒,,446999,4
89,1055,10月23日,爸媽問不出來的事！ 憲神幫你套出小孩內心話！,談話性,楊皓如 Michael 小跩 Maya 撒基努 古拉斯 陳立芹 鄧廣福 小布丁 甄莉 希德 Sky 保姆 晴晴,,338849,4
90,1056,10月24日,和聲在走默契要有！ 挑戰最強合音組合！,歌曲,戴愛玲 張秀卿 Resonance留聲樂團 林宗興 管罄 杜力 唐從聖 黃靖倫 思思 邵邵 亦帆,,166485,5
91,1057,10月25日,什麼東西這麼囂張！ 想吃要等一年？！,談話性,胡天蘭 安妮 夢多 阿諾 哈孝遠 凱莉 Neil 郭泰王,,300358,4
92,1058,10月26日,不當藝人 你有辦法換工作嗎？ 藝人轉行大挑戰！,活動,白雲 何妤玟 成語蕎 小甜甜 謝家璇 何啟聖 陳斌魁,,335461,4
93,1059,10月30日,誰說雙胞胎感情比較好？！ 無厘頭心電感應實測！,活動,萱野可芬 萱野可芳 宋達民 宋逸民 黃喬歆 黃昱翔,,272971,5
94,1060,10月31日,一首歌能賣多少錢？ Demo公開招標大會！,歌曲,林隆璇 方文山 丁曉雯 金秀麗 陳央 香蕉 盧瑮莉 范揚景 荒漠甘泉,,195389,5
95,1061,11月1日,生死一念間！ 大難臨頭時 你能活下來嗎？,活動,沈玉琳 張友驊 趙岱新 孔繁錦JR 李維維 陽詠存 孫沁岳,,220691,5
96,1062,11月2日,特派員直擊現場！ 找出你想知道的秘密！,活動,郭彥均 Shanon 安苡愛 阿虎 沈玉琳 馬丁 楊晨熙 解婕翎 張立東 瑪莉亞,,486013,4
97,1063,11月6日,網友都怎麼說你！ 真實網路討論度大排行！,談話性,Paul 陳彥碩 沈玉琳 小馬 黃鐙輝 張立東 解婕翎 徐瑋吟 何美,,458552,4
98,1064,11月7日,歌手想打歌？！ 身旁好友要夠耐操！,歌曲,李敏榮 四葉草 陳零九 TUD綠茶 張立東 撒基努 大根 楊子儀,,234565,5
99,1065,11月8日,傳說！ 禁忌？ 原住民祭典 多的是你不知道的事！,談話性,撒基努 督們·達令 布達爾 薩皿安 猶卡恩 木亞 夏曼亞昂努,,411761,4
100,1066,11月9日,同門藝人大對抗！ 老闆你怎麼說？,活動,NONO 洪敬堯斯亞 綠茶 段旭明 曾昱嘉 逸祥 香蕉 阿虎,,429042,4
101,1067,11月13日,嗆出你的名字有用嗎？ 藝人知名度大對決！,活動,熊熊 徐瑋吟 曾子余 詹子晴 趙正平 梁赫群,,497033,4
102,1068,11月14日,這首歌男女合唱行不行？,歌曲,洪敬堯 袁永興 方泂鑌 呂薔 林子森 黃少谷 宇宙人Mei 沈玉琳 劉雨柔 杜詩梅 何美,,256560,5
103,1069,11月15日,抗老化挑戰賽！ 哪些功能你開始退化了？,遊戲,屈中恆 Vicky 洪都拉斯 沈玉琳 何妤玟 劉爾金 柯漢祥,,272234,5
104,1070,11月16日,OMG！！ 當醫護人員凸槌時！,職業,昕昕 魏智偉 陳綠 黃彥鈞 雨玄 陳志軒 餘明螢,,285283,5
105,1071,11月20日,大熱門解憂店！！ 讓Dr.Wu來解你的疑難雜症！！,談話性,趙正平 馬丁 Una 卡古 海產,,310140,4
106,1072,11月21日,辦公室好聲音！ 這些上班族不當歌手太可惜！,歌曲,吳映潔 丁曉雯 小鍾 唐從聖 鯰魚 林進 小A辣 小穎 夢夢 Leo 小喵,,450637,4
107,1073,11月22日,這種東西也能玩？ 第二屆荒謬遊戲大戰！,遊戲,沈玉琳 黃沐妍 鯰魚哥 唐從聖 泱泱 瑪莉亞,,358820,4
108,1074,11月23日,嚇死寶寶了！ 現在高中生尺度這麼大？！,談話性,檢場 王中平 詹惟中 雲中嶽 郭彥甫 黃築婷 葉欣 Catie 陳柔伊 林建銘 林俊銘 王格心 江秉鴻,,1096893,1
109,1075,11月27日,你這定價有人買單嗎？ 真實尾牙行情大揭密！,活動,沈玉琳 楊繡惠 唐從聖 趙正平 小甜甜 撒基努 圓圓 佩佩 Stone Carrie Cola 陸總 Tiger Kenji,,415289,4
110,1076,11月28日,同一首歌兩種風格？！ 你有辦法唱得好聽嗎？,歌曲,蔡秋鳳 丁曉雯 安歆澐 陳大天 閻奕格 卓義 許書豪,,146338,5
111,1077,11月29日,國學燒腦大戰！！ 誰是藝能界行走詩詞庫？,遊戲,苦苓 張齡予 楊晨熙 沈玉琳 詹惟中 詹子晴,,376761,4
112,1078,11月30日,你哪裡最值錢？ 藝人最強器官拍賣會！,活動,偉晉 邱鋒澤 成語蕎 Popu Lady 張雁名 逸祥,,280315,5
113,1079,12月4日,世界那麼大！ 這些各國奇聞你聽過嗎？,談話性,謝哲青 派翠夏 康明思 李眉君 李少迪 可樂 Vivien 宋讚養,,312690,4
114,1080,12月5日,嫂子賣餃子怎麼跳啊？ 非唱跳歌曲轉型大挑戰！,歌曲,包偉銘 愷樂 嘻小瓜 黃燈輝 TUD 黃昺翔 康茵茵 唐仲,,688603,3
115,1081,12月6日,荒謬任務大挑戰！ 想嚐甜頭命要夠硬！,活動,王宣 山豬 黃沐妍 林彥君 馬國賢,,321922,4
116,1082,12月7日,2017發明物搶先看！ 符合人性還是多此一舉？！,活動,蔡黃汝 鍾承翰 楊鎮 管麟 賴東賢 白朝蓉 白浩秦 吳俞葳 郭芊吟 李冀苑 張逸謙 張家舜 游政則 高志宏 林春福,,324645,4
117,1083,12月11日,演員不好當！ 滿滿負能量就要來靠北！,職業,呂文婉 丁國琳 楊雅筑 沈世朋 楊麗菁 賴芊合,,313915,4
118,1084,12月12日,唱歌揪不到人？ 一人迷你K歌房讓你唱到嗨！！,歌曲,敖犬 李依瑾 嘎嘎 高以馨 蘇一晉 劉虹翎,,319674,4
119,1085,12月13日,一笑就尷尬！ 婚喪喜慶也能這麼荒唐？,談話性,蕾蕾 歐美玲 林品希 小冬瓜 許力文 張名儀 小富,,288147,5
120,1086,12月14日,原唱可能還沒他紅！ 誰是網絡最強Cover歌手？！,歌曲,王治平 爽樂團 笑笑 Oh！特爽 文慧如 黃聖文 安喬 古拉 貝可儀,,1487314,1
121,1087,12月18日,現在當老師Hen心酸！ 面對恐龍家長超難搞？！,談話性,25位老師,,228169,5
122,1088,12月19日,跪求和李玖哲合作！ 你會獻出什麼看家本領？,歌曲,李玖哲 詹愷琪 佟凱玲 解偉苓 丁曉雯 安苡愛 陳央,,218338,5
123,1089,12月20日,一招絕活打天下！ 他們的代表作你一定看過！,活動,王庭勻 陳彥名 詹雅涵 林柏叡 黃庭軒 又仁 大黑白 謝雪兒 樂群 李健竹 蛋捲 博恩,,651024,3
124,1090,12月21日,先睡了再說！ 明星交換住宿聯誼大會！,活動,張立東 馬國賢 郭鑫潘映竹 允潔媽 安苡愛,,897582,2
125,1091,12月25日,沒想到當藝人前！ 他竟然幹過這個職業！,職業,吳懷中 曾智希 撒基努 郭彥均 林秀琴 黃鐙輝,,258255,5
126,1092,12月26日,亂點鴛鴦譜！ 誰的聲音能征服你？！,歌曲,黃鴻升 龍千玉 孫協志 許維芳 子凌 雅雅 吳申梅 小嫻 高以馨 吳俊宏 陳肇天 畢諾煦,,385288,4
127,1093,12月27日,職場不公平事件簿！ 長得美真的沒有比較吃香？,職業,雨玄 牟牟 廈雯 張書書 黃昕羽 蘇瀅 文心 張珺婷 龍龍 洪秀雯,,235854,5
128,1094,12月28日,想進棚先過路人這一關！ 好聲音街頭戰！,歌曲,邱勝翊 綠茶 夏宇童 山豬 安苡愛 張心傑,,260431,5
129,1095,1月1日,他們的旅行一個比一個狂！ 離鄉背井冒險王！,談話性,小番薯 林鼎修 高嘎 方世宇 玉婷 張修維 戴裕霖,,186006,5
130,1096,1月2日,壓箱絕技全出招！ 跪求和情歌王子一起唱！,歌曲,張信哲曾昱嘉 閻奕格 林芯儀 韓森 陳大天 海產 杜力,,233409,5
131,1097,1月3日,製作單位眼中的討厭鬼！ 最顧人怨藝人排行榜！,談話性,小鐘 詹惟中 趙正平 小優 無尊 蔡允潔 嘻小瓜,,635456,3
132,1098,1月4日,舊團打散重組！ 湊一起有fu嗎？,歌曲,孫協志 郭彥均 嗨獎 斯亞 嘻小瓜 Una 包偉銘 林維哲 博焱 妖嬌 Terry,,323024,4
133,1099,1月8日,婚禮過後你最想消滅的人是？,談話性,小小瑜 Paul 佩佩 楊皓如 沈玉琳 Maya,,529906,3
134,1100,1月9日,東西文化廝殺！ 誰的表演更技高一籌？,活動,王治平 蕭煌奇 盧學叡 Una 戰嬿樂團 RED 芮德 康茵茵 JB樂團,,262524,5
135,1101,1月10日,怎麼可能有才又有臉？ 高顏值台灣之光！,談話性,鍾瑤 李運慶 潘慧如 夏和熙 楊千玫 王策 李唐孟 Zero Four Crew 文姿雲 杜偉誠 夏臨威,,218150,5
136,1102,1月11日,吳導演試鏡大會！ 誰能成為憲憲家族新成員？,活動,沈玉琳 孔令奇 金美滿 易芝貓 嚴之 子涵 黃小愛 波波蓁,,507852,3
137,1103,1月15日,氣數已盡！ 老藝人聲隕落殘酷排行！,活動,王彩樺 馬國賢 何妤玟 NONO 廖慧珍 白雲,,341639,4
138,1104,1月16日,返校尋找好聲音！ 同學你不出道好可惜！,高曲,阿沁Yumi 君君 大根 許飛飛 宇宙 Wez BCW 王思涵,,543333,3
139,1105,1月17日,上班族最放肆的一日！ 尾牙奇葩事大盤點！,職業,佩佩 陸董 Cola Carrie Pink 拉達 B子,,282439,5
140,1106,1月18日,這個頭銜該換人了吧？ 藝人封號爭奪戰！,活動,陳予新 無尊 梁凱莉 林喬安 阿虎 卡古 惡魔 嘻小瓜,,280812,5
141,1107,1月22日,我都幾歲了！ 爸媽還要管我這些事！,談話性,韓靖 馬國賢 曾子余 蔡允潔余皓然 國賢媽 子余媽 允潔媽,,278403,5
142,1108,1月23日,吳老闆試音室！ 誰有本事讓他掏錢發唱片？,歌曲,品冠 贊薇 林樂偉 陳安 古拉 牟牟 謝秉鈞 張革玉勍,,246119,5
143,1109,1月24日,比本土劇還狗血！ 光怪陸離官司事件簿！,職業,梁正群 范峻銘 蔡志雄 李怡貞 王可文 王世平 邱靖貽 吳威廷,,361134,4
144,1110,1月25日,藝人混網路有飯吃嗎？ 挑戰一支影片爆紅！,活動,HowHow Wackyboys 趙正平 沈玉琳 嘻小瓜 黃沐妍 張立東 無尊 阿虎 梁凱莉,,391639,4
145,1111,1月29日,恐怖測謊機又來了！！ 一秒揪出誰正在說謊？！(上),活動,苦苓 Wendy 蔡志雄 詹子晴 張立東 王思佳 Paul 大根 布蘭妮 咪咪,,475372,4
146,1112,1月30日,恐怖測謊機又來了！！ 一秒揪出誰正在說謊？！(下)大熱門解憂店第二彈！ 沒醫好人先瘋！！ (上),活動,苦苓 Wendy 蔡志雄 詹子晴 張立東 王思佳 Paul 大根 布蘭妮 咪咪 安妮 沈玉琳 蔡允潔 蘿莉塔 張齡予 無尊,,275951,5
147,1113,1月31日,大熱門解憂店第二彈！ 沒醫好人先瘋！！ (下),談話性,安妮 沈玉琳 蔡允潔 蘿莉塔 張齡予 無尊,,274745,5
148,1114,2月1日,不是發我就是發你！ 大熱門通告優先權之戰！,活動,唐從聖 亦帆 無尊 大根小鍾 符瓊音 阿虎 卡古,,387516,4
